split,layer,beta,layer_specific_scale,accuracy
0,9,1,0.95,0.03375
0,9,3,0.95,0.0775
0,9,5,0.95,0.0375
0,10,1,1.0,0.04125
0,10,3,1.0,0.07
0,10,5,1.0,0.0325
0,11,1,1.05,0.06625
0,11,3,1.05,0.04875
0,11,5,1.05,0.005
0,12,1,1.1,0.03
0,12,3,1.1,0.01625
0,12,5,1.1,0.00375
1,9,1,0.95,0.025031289111389236
1,9,3,0.95,0.0688360450563204
1,9,5,0.95,0.03629536921151439
1,10,1,1.0,0.03504380475594493
1,10,3,1.0,0.07759699624530664
1,10,5,1.0,0.03128911138923655
1,11,1,1.05,0.056320400500625784
1,11,3,1.05,0.06382978723404255
1,11,5,1.05,0.006257822277847309
1,12,1,1.1,0.03254067584480601
1,12,3,1.1,0.016270337922403004
1,12,5,1.1,0.0012515644555694619
2,9,1,0.95,0.03754693366708386
2,9,3,0.95,0.06508135168961202
2,9,5,0.95,0.028785982478097622
2,10,1,1.0,0.05131414267834793
2,10,3,1.0,0.07634543178973717
2,10,5,1.0,0.02753441802252816
2,11,1,1.05,0.052565707133917394
2,11,3,1.05,0.04630788485607009
2,11,5,1.05,0.011264080100125156
2,12,1,1.1,0.03128911138923655
2,12,3,1.1,0.01376720901126408
2,12,5,1.1,0.0025031289111389237
