paper_id,Summary,Questions,Limitations,Ethical Concerns,Soundness,Presentation,Contribution,Overall,Confidence,Strengths,Weaknesses,Originality,Quality,Clarity,Significance,Decision
initialization_strategies_impact,"The paper investigates the impact of different initialization strategies (Xavier/Glorot, He, and random) on the controllability and generation quality of diffusion models. The study hypothesizes that the choice of initialization can significantly influence a model’s ability to learn and generate specific features, which is crucial for applications requiring fine-grained control. The study proposes integrating these initialization strategies into the weight initialization process of the denoiser network and evaluates their impact using targeted prompts, KL divergence measurements, and qualitative analysis on synthetic 2D datasets.","['Why were results only presented for random initialization when the paper promises an evaluation of multiple strategies?', 'Can the authors provide more detailed experimental setups and theoretical underpinnings for their hypothesis?', 'When will the experiments with Xavier/Glorot and He initialization strategies be completed?', 'Can you provide additional qualitative analysis of the generated samples to support your claims?', 'What are the potential limitations of your study, and how do you plan to address them in future work?', 'Can you provide more details on how the initialization strategies are integrated into the training pipeline?', 'How does your work specifically build on the methods discussed in the related work section?', 'How do you plan to address the impact of these initialization strategies on more complex datasets and model architectures?']","['The paper fails to deliver on its promise of evaluating multiple initialization strategies, limiting its contributions.', 'The study is incomplete, presenting only baseline results.', 'Lacks data for alternative initialization strategies (Xavier/Glorot and He).', 'The paper does not address the limitations or potential negative societal impact of the work.']",False,2,2,2,3,4,"['The paper addresses an important aspect of diffusion models: controllability, which is crucial for applications requiring fine-grained control.', 'The proposed evaluation of different initialization strategies is systematic and well-motivated.', 'The experimental setup includes comprehensive metrics for performance evaluation, such as KL divergence and MSE.', 'The topic is relevant and significant for applications requiring fine-grained control over generated data, such as artistic rendering and data augmentation.']","['The novelty of the paper is limited. Initializing neural networks is a well-studied topic, and applying this to diffusion models does not provide significant new insights.', 'The experimental results are incomplete. The paper mentions evaluating different initialization strategies but only presents results for random initialization.', 'The paper lacks clarity. Key details about the experimental setup are missing, and the theoretical justification for the hypothesis is weak.', 'The significance of the work is questionable given the limited scope of the experiments and lack of novel contributions.', 'The related work section is superficial and does not provide a deep understanding of how this work builds on existing research.', 'There is no discussion of potential limitations or the negative societal impact of the work.']",2,2,2,2,Reject
model_depth_controllability,"The paper investigates the impact of the depth of the denoiser network on the controllability of diffusion models. By systematically varying the network depth from 1 to 5 hidden layers, the study aims to balance model complexity and the ability to capture fine-grained details, utilizing KL divergence and qualitative analysis of generated samples to measure performance.","['How does the performance of your models compare with more sophisticated state-of-the-art models in diffusion-based generative modeling?', 'Can you provide more details on the experimental setup, such as the choice of hyperparameters and the rationale behind selecting certain datasets?', 'How do you address potential overfitting in deeper models, and what regularization techniques have you considered?', 'Why was the range of network depths limited to 1 to 5?', 'Can the authors provide more details on the experimental setup and evaluation metrics?', 'Why were the specific 2D datasets (circle, dino, line, and moons) chosen for this study? How do they represent the broader problem space?', 'What are the potential reasons for the observed differences in performance across different network depths? Can the authors provide a deeper analysis of these results?', 'Have you considered the impact of different activation functions on controllability?', 'What regularization techniques could be integrated to mitigate overfitting in deeper networks?', 'How were the qualitative assessments of generated samples performed and quantified?']","['The main limitation is the potential overfitting in deeper models, which the authors acknowledge but do not sufficiently address.', 'The paper could benefit from a more detailed discussion on the computational cost and feasibility of training deeper models.', 'The study is limited to simple 2D datasets, which may not be representative of more complex real-world scenarios.', 'The paper does not explore the impact of different activation functions or regularization techniques, which could be important factors in model performance.', 'Potential negative societal impacts are not discussed, though this may be less relevant for a technical paper focused on model architecture.']",False,2,2,2,3,4,"['Addresses a relevant issue in diffusion models: controllability.', 'Systematic approach to varying network depth and evaluating performance.', 'Uses both quantitative (KL divergence) and qualitative analysis to assess controllability.']","['The originality of the work is limited as it focuses primarily on an aspect (network depth) that has been explored in various contexts within neural networks.', 'The quality of the empirical evaluation could be improved. More datasets and comparisons with existing models could strengthen the claims.', 'Clarity is lacking in some sections, particularly in the methodology and experimental setup.', 'The significance of the findings is not well contextualized. The paper does not sufficiently compare its results with those of state-of-the-art models.', ""The experimental setup is fairly limited. Only simple 2D datasets are used, which do not provide a comprehensive evaluation of the model's performance in more complex scenarios."", 'Potential reproducibility issues due to insufficient details on the training setup, hyperparameters, or the exact implementation of the denoiser networks.']",2,2,3,2,Reject
userguided_sampling_strategies,"The paper introduces a user-guided sampling strategy for diffusion models to enhance controllability and adherence to user preferences. The method dynamically adjusts the sampling process based on user-specified constraints, showing a reduction in KL divergence and qualitative improvements in simple datasets.","['Can you provide more detailed experimental results on more sophisticated datasets?', 'How do you plan to mitigate the increased computational complexity introduced by the user-guided component?', 'Can the authors provide more detailed theoretical justifications for their user-guided sampling mechanism?', 'How does the method perform on a wider range of datasets and in more varied settings?', 'Can the authors provide more detailed implementation details, particularly regarding the integration and processing of user inputs?', 'Can the authors provide a detailed explanation of the user-guided sampling mechanism, including how user inputs are translated into actionable parameters?', 'How does the proposed method compare with existing user-guided generative models in terms of controllability and quality?', 'Can the authors provide more comprehensive empirical results on a diverse set of datasets to demonstrate the practical utility of the method?', 'What specific measures were taken to mitigate the increased computational complexity introduced by the user-guided mechanism?', 'Can the authors conduct additional ablation studies to isolate the impact of different components of the proposed method?', 'What is the impact of the proposed method on computational complexity and runtime? Can this be quantified?']","['The paper mentions increased computational complexity but lacks a detailed analysis or potential solutions.', 'The integration of user inputs adds complexity to the sampling process, potentially increasing computational requirements. Future work should focus on optimizing the efficiency of the implementation.', ""A broader range of user constraints and interaction mechanisms could be explored to enhance the method's applicability."", 'The increased computational complexity due to user input integration and the lack of detailed ablation studies are notable limitations. Addressing these in future work could enhance the robustness and applicability of the method.']",False,2,2,2,4,4,"['Addresses a real challenge of controllability in diffusion models.', 'The idea of integrating user-guided sampling into diffusion models is novel and addresses an important need for fine-grained control in generative models.', 'Reduction in KL divergence indicates potential improvements in model fidelity.']","['The concept is not entirely novel; similar ideas have been explored in GANs and VAEs.', 'Experimental validation on simple datasets is insufficient for demonstrating effectiveness in complex scenarios.', 'Clarity issues with redundant information and poorly explained theoretical justification.', 'Incremental improvement in KL divergence is not substantial enough to claim significant advancements.', 'Lacks detailed analysis of computational complexity and potential solutions.', 'Theoretical justifications for the proposed method are not clearly explained, making it difficult to understand the underlying principles and potential limitations.', 'The implementation details, particularly regarding how user inputs are integrated and processed, are not sufficiently detailed.', 'Comparison with existing methods, such as those in GANs and VAEs, could be more thorough to better contextualize the contributions of this work.']",3,2,2,3,Reject
guided_clustering_diffusion,"The paper proposes a novel approach to enhance the controllability of diffusion models by integrating a computationally efficient clustering algorithm into both the training and inference processes. This method aims to guide the generation process towards user-specified modes without significantly increasing computational overhead. The approach is validated through experiments on synthetic 2D datasets, showing improvements in KL divergence and MSE, indicating better alignment of generated samples with the underlying data distribution.","['Can you provide more details on the theoretical foundation of the clustering guidance mechanism?', 'How does the performance of your method vary with different clustering algorithms?', 'Can you include more comprehensive ablation studies and experiments on more complex datasets?', ""Why was K-means chosen as the clustering algorithm, and how does it impact the method's performance and scalability?"", 'Can the authors provide more details on how the loss function is modified to incorporate cluster proximity?', 'How does the method perform on more complex, real-world datasets beyond the synthetic 2D datasets used in the experiments?', 'What is the computational overhead introduced by the clustering mechanism?', 'Can you include more ablation studies and comparisons with recent state-of-the-art methods?']","['The proposed method might introduce computational overhead for very large datasets. It is suggested to explore optimization techniques for the clustering algorithm to better integrate into the diffusion model.', ""The paper should discuss the potential limitations in terms of the scalability of the clustering algorithm and the method's applicability to more complex datasets."", 'Potential negative societal impacts are not addressed. It would be beneficial to discuss any ethical considerations related to the controllable generation of data.']",False,2,2,2,4,4,"['The integration of clustering algorithms to enhance controllability in diffusion models is a novel idea.', 'The proposed method shows promising results in terms of reducing KL divergence and MSE, indicating improved alignment with data clusters.', 'The approach is described as computationally efficient, which is crucial for scalability.']","['The theoretical underpinning of how the clustering integration enhances controllability is not sufficiently detailed.', 'The experimental validation is limited to simplified 2D datasets, lacking validation on more complex and real-world datasets.', 'The paper lacks detailed ablation studies to thoroughly investigate the impact of the clustering guidance mechanism.', 'The clarity of the method, particularly the training and inference processes, needs improvement with more comprehensive descriptions and pseudocode.', 'There is insufficient discussion on the potential limitations and challenges of the approach, such as scalability to more complex datasets.', 'The paper lacks a thorough comparison with other state-of-the-art methods in controllable generation.']",3,2,2,3,Reject
stochastic_timestep_selection,"The paper introduces a novel stochastic timestep selection mechanism for diffusion models aimed at enhancing diversity and controllability of generated samples. The method involves a probability distribution for timestep selection, favoring earlier timesteps to capture a broader range of data distributions. Empirical validation on 2D datasets shows significant improvements in KL divergence and qualitative sample diversity compared to baseline models.","['Can the authors provide more details on the implementation of the stochastic timestep selection mechanism?', 'How does the proposed method perform on more complex datasets?', 'Can the authors discuss the computational costs in more detail?', 'What are the potential limitations of the proposed approach?', 'What is the rationale behind the chosen probability distribution for timestep selection? Are there alternative distributions that could be considered?', 'Can the authors provide a more detailed ablation study to isolate the impact of the stochastic timestep selection?']","['The paper lacks a thorough discussion on the computational costs and potential limitations of the proposed method.', 'The evaluation is limited to simple 2D datasets, which may not capture the full potential or drawbacks of the approach.', 'The paper does not provide enough ablation studies to isolate the contribution of each component of the proposed method.']",False,3,3,3,5,4,"['Addresses an important issue in diffusion models—diversity and controllability of generated samples.', 'Introduces a novel stochastic timestep selection mechanism.', 'Reports significant improvements in key metrics like KL divergence and qualitative analysis.', 'The methodology is generally well-structured and easy to follow.']","['The methodology section lacks sufficient detail, making it difficult to reproduce the results.', 'The evaluation is limited to simple 2D datasets, which may not be representative of more complex real-world scenarios.', 'Insufficient discussion on the potential limitations and computational costs associated with the proposed method.', 'The paper could benefit from more comprehensive ablation studies and comparisons with a broader range of baseline models.', 'Theoretical explanations for why stochastic timestep selection improves diversity and controllability could be more thoroughly developed.']",3,3,3,4,Reject
adaptive_timesteps_diffusion,"The paper introduces an adaptive timesteps mechanism for diffusion models, aiming to improve controllable generation by dynamically adjusting the number of timesteps based on identified data modes and the model's learning progress. The authors claim that this method enhances the model's ability to generate controllable and accurate samples.","['Can the authors provide more detailed explanations of the adaptive timesteps mechanism and its integration into the diffusion process?', 'How does the proposed method compare to other adaptive mechanisms in generative models beyond the ones mentioned?', 'Can the authors evaluate the method on more diverse and complex datasets?', 'Can the authors provide more detailed comparisons with existing adaptive mechanisms in generative models?', 'Could the authors include more comprehensive experimental results and analyses to better demonstrate the significance of the improvements?', 'Can the authors elaborate on the computational overhead and provide more detailed insights into the trade-offs of the adaptive timesteps approach?', 'What clustering algorithm was used to identify data modes, and how does it integrate with the diffusion process?', 'Have you tested the approach on more complex datasets beyond simple 2D shapes? If not, how do you plan to validate its effectiveness for real-world data?', 'Have the authors considered conducting ablation studies to demonstrate the importance of different components of the adaptive timesteps mechanism?', 'What are the limitations and potential negative societal impacts of the proposed method?', 'Can you provide a more detailed and rigorous mathematical formulation of the adaptive timesteps mechanism?', 'How exactly does the NoiseScheduler class adjust the timesteps during the diffusion process?', 'Have you evaluated the computational overhead introduced by the adaptive mechanism? If so, can you provide detailed results?']","['The paper does not adequately address potential limitations and negative societal impacts of the proposed approach. For instance, the increased computational overhead introduced by the dynamic adjustment of timesteps could be a significant concern.', 'The effectiveness of the approach may vary depending on the complexity and structure of the dataset, which is not thoroughly explored in the experiments.']",False,2,2,2,3,4,"['The paper addresses the significant issue of controllable generation in diffusion models.', 'The proposed adaptive timesteps mechanism is an interesting idea that could potentially improve the flexibility and effectiveness of diffusion models.']","['The novelty of the approach is not well-justified. Adaptive mechanisms in generative models have been explored before, and the paper does not make a strong case for how it uniquely contributes to the field.', 'The technical details provided in the methodology section are insufficient. The paper lacks rigorous theoretical analysis and deeper experimental validation to support its claims.', ""The experimental results, while showing some improvement, do not provide a comprehensive evaluation of the method's effectiveness. More datasets and comparisons to additional baseline methods are needed."", 'The paper does not adequately address potential limitations and negative societal impacts of the proposed approach.', 'The explanation of the adaptive timesteps mechanism and its integration into the diffusion process is somewhat unclear. More detailed pseudocode or algorithmic steps would be beneficial.', 'The discussion on computational overhead is brief and does not provide sufficient insights into the trade-offs involved with the adaptive approach.']",3,2,2,3,Reject
rnn_lstm_denoiser,"The paper proposes integrating Recurrent Neural Networks (RNNs) and Long Short-Term Memory (LSTM) networks into diffusion models to enhance their controllability. The authors introduce new denoiser classes for RNNs and LSTMs, modify the model's forward pass, and adjust evaluation metrics for targeted generation. The proposed approach is validated through experiments on several 2D datasets.","['Can you provide more details on how the RNNs and LSTMs are integrated into the diffusion process?', 'How does your approach compare with existing methods that use sequential models for generative tasks?', 'Can you provide experimental results on more complex datasets to validate the effectiveness of your method?', 'Please provide more details on the new denoiser classes for RNNs and LSTMs.', 'Can you conduct experiments on more complex and diverse datasets?', 'How does your method compare with state-of-the-art diffusion models?', 'What are the potential ethical considerations and societal impacts of your method?', 'Can you provide more technical details on the architecture of the denoiser classes for RNNs and LSTMs?', 'Why did you choose such simplistic datasets for validation? How do you plan to validate the approach on more complex and realistic datasets?', 'Can you justify the choice of evaluation metrics? Why were metrics like FID or user studies not considered?', 'What optimizations can be made to reduce the computational cost of the proposed method?', 'Can the authors provide more comparative results with state-of-the-art methods?', 'Can the authors elaborate on the details of the autoencoder aggregator and its role in the proposed method?', 'How does the performance of the proposed method scale with more complex and diverse datasets?', 'What are the potential limitations and societal impacts of this work, especially in terms of computational cost and scalability?', 'Can the authors provide a more comprehensive literature review in the related work section?', 'Can the authors provide additional ablation studies to demonstrate the contributions of individual components?']","['The paper does not adequately address the limitations of the proposed approach, such as the increased computational cost of using RNNs and LSTMs.', 'The paper does not address potential limitations and societal impacts adequately. The computational cost and scalability of integrating RNNs and LSTMs into diffusion models need to be discussed in greater detail.']",False,2,2,2,3,4,"['The idea of using RNNs and LSTMs for controllable generation in diffusion models is interesting and addresses an important problem in generative modeling.', 'The integration of RNNs and LSTMs into diffusion models is a novel approach to enhancing controllability.']","['The novelty of the approach is not well-established. The concept of using sequential models in generative tasks is not new.', 'The technical details are insufficient. The paper lacks clarity on how RNNs and LSTMs are integrated into the diffusion process.', 'The related work section is weak and does not adequately position the proposed work within the existing literature.', 'The experimental validation is limited to simple 2D datasets, which are not sufficient to demonstrate the effectiveness of the method in real-world scenarios.', 'The paper is not clearly written, making it difficult to understand the exact contributions and methodology.', 'There is a lack of comparison with advanced baselines and state-of-the-art methods in the domain.', 'The evaluation metrics used are not well-justified. The sole reliance on KL divergence and evaluation loss without more comprehensive metrics like FID or user studies is insufficient.', 'The computational cost of the proposed method is high due to the complexity of the RNN and LSTM architectures, but the paper does not explore any optimizations or provide a detailed analysis of the computational overhead.']",2,2,2,2,Reject
optimizer_impact_on_controllability,"The paper investigates the impact of different optimization algorithms (RMSprop, SGD with momentum, AdaGrad) on the controllability of diffusion models, replacing the standard AdamW optimizer. The study evaluates these optimizers using metrics like KL divergence and qualitative analysis of generated samples, aiming to enhance the control over the generative process of diffusion models.","['How were the hyperparameters for each optimizer selected and tuned?', 'Can the authors provide detailed experimental results and comparisons with other baseline models?', 'Why were RMSprop, SGD with momentum, and AdaGrad chosen specifically?', 'What are the specific architectural details of the diffusion model used in the experiments?', 'Can the authors provide a more detailed explanation of their methodology and the experimental setup?', 'How do the proposed optimizers compare in terms of their impact on controllability beyond the metrics provided?', 'What are the specific improvements or insights gained from using these optimizers that were not achievable with AdamW?', 'What are the specific limitations of using RMSprop, SGD with momentum, and AdaGrad in the context of diffusion models?', 'How do the findings generalize to other types of diffusion models or different datasets?', 'What are the underlying reasons for the observed differences in performance among the different optimizers?', 'Can the authors include more comprehensive ablation studies to understand the impact of each component of the proposed method?']","[""The authors did not address the limitations of their work in detail. The primary limitation is the incomplete and superficial evaluation of the optimizers' impact on diffusion models."", 'The potential negative societal impacts of improving controllability in generative models are not discussed.']",False,2,2,2,3,4,"['The topic is relevant and addresses an important issue in the controllability of diffusion models.', 'The paper attempts a systematic evaluation by integrating different optimizers into the training loop of diffusion models and maintains consistent training conditions.', 'The use of multiple datasets for evaluation adds robustness to the study.']","['Lack of Technical Depth: The paper does not provide sufficient technical details about the integration of optimizers into the training process. There is no information about implementation specifics, hyperparameter tuning, or detailed architecture used.', ""Incomplete Results Section: The results section is incomplete, with placeholders like 'Result 1,' 'Result 2,' etc., indicating that the authors did not finish the experimental results."", 'Missing Quantitative Analysis: There is a lack of detailed quantitative analysis in the results. The paper only provides a table with placeholder results and does not discuss the significance or implications of these results.', 'No Baseline Comparisons: The paper lacks comparisons with other state-of-the-art methods or baselines, which is essential to contextualize the improvements or drawbacks of the proposed optimizers.', ""Poor Presentation: The paper includes multiple instances of 'PLEASE FILL IN CAPTION HERE,' indicating incomplete sections and poor presentation. This significantly affects the readability and perceived quality of the work."", 'No Theoretical Justification: There is no theoretical justification or discussion about why the selected optimizers might improve controllability. The paper lacks a rigorous theoretical framework to support the empirical findings.', 'The novelty is limited as the primary contribution is a comparison of existing optimizers.', 'The experimental details are not sufficiently described, making reproducibility difficult.', 'The ablation studies are briefly mentioned without much detail.']",2,2,2,2,Reject
dynamic_curriculum_learning,"The paper presents a dynamic curriculum learning strategy to enhance the controllability of diffusion models in generating data with specific characteristics. The proposed approach adjusts the complexity of data presented to the model based on its performance, ensuring a progressive learning experience. The method is validated through experiments demonstrating improvements in generating data with targeted complexity levels, showing reduced KL divergence and better alignment with desired distributions.","['Can the authors provide more detailed definitions and examples of the complexity metrics used in the dynamic curriculum?', 'How does the performance of the model vary with different settings of the complexity metrics?', 'What are the computational overheads associated with the dynamic curriculum learning strategy?', 'Can you provide more details on the implementation of the dynamic curriculum learning strategy?', 'How are the complexity metrics such as cluster density, entropy, and mode separation defined and calculated?', 'Can you include more comprehensive ablation studies and comparisons with other baseline models?', 'What are the potential limitations and societal impacts of your proposed method?', 'How does your method compare to other state-of-the-art techniques in controllable generation?', 'Can you elaborate on the specific implementation details to help reproduce the results?', 'Can you provide more experimental results on a wider range of datasets and metrics?']","['The paper would benefit from a more thorough discussion of the limitations of the dynamic curriculum approach and potential negative societal impacts, such as biases introduced by the chosen complexity metrics.', 'More detailed analysis of the computational complexity and overhead introduced by the dynamic curriculum learning strategy is needed.', 'The method requires careful tuning of complexity metrics and curriculum adjustment mechanisms.', 'Current implementation is dataset-specific and may not generalize well to diverse data types.']",False,2,2,2,3,4,"['Addresses a significant challenge in diffusion models: controllability in generating data with specific characteristics.', 'Innovative use of dynamic curriculum learning to progressively increase data complexity based on model performance.', 'Comprehensive experimental setup with multiple datasets and metrics to validate the proposed method.']","['The explanation of the complexity metrics and how they are quantified and applied could be more detailed.', 'The paper lacks in-depth ablation studies for different components of the proposed method, such as the specific impact of each complexity metric.', 'The related work section could better contextualize the novelty by comparing against more recent advancements in curriculum learning and diffusion models.', 'Implementation details of the dynamic curriculum learning strategy are vague and insufficiently described.', 'Reproducibility is challenging due to missing details on datasets, hyperparameters, and implementation specifics.']",3,2,2,3,Reject
simplified_moe_diffusion,"The paper proposes a simplified Mixture of Experts (MoE) architecture to enhance controllability and diversity in diffusion models. The approach involves using a two-expert system, each specializing in different aspects of the data, with a lightweight gating network dynamically selecting the appropriate expert based on the diffusion process state. The authors claim significant improvements in KL divergence and output diversity through extensive experiments on synthetic datasets.","['Could you provide more detailed descriptions of the training process for the gating network and expert denoisers?', 'Have you considered validating your approach on more complex, real-world datasets?', 'What are the specific roles and specializations of each expert in the two-expert system?', 'How does the proposed approach perform on more complex, real-world datasets?', ""Can the authors include additional evaluation metrics to provide a more comprehensive assessment of the model's performance?"", 'Why were synthetic datasets chosen for evaluation instead of more challenging real-world datasets?', 'How does the proposed method compare to state-of-the-art diffusion models in terms of performance metrics?', 'Can the authors provide more detailed ablation studies to understand the contribution of each component?', 'What are the potential limitations of your approach?', 'Have you considered the ethical implications of your work, especially in terms of controllability and misuse?']","['The authors need to address the generalizability of their results by validating on more complex datasets.', 'The paper should provide a more detailed methodology section to enhance reproducibility.', 'The synthetic nature of the datasets used for evaluation limits the generalizability of the findings.', 'The lack of comparison with state-of-the-art methods makes it difficult to assess the real impact of the proposed approach.', 'The paper does not address potential limitations or negative societal impacts. For example, the ability to control generated data could lead to misuse in generating misleading or harmful content.']",False,2,2,2,3,4,"['The introduction of the MoE architecture in diffusion models is novel and addresses a significant limitation of current diffusion models.', 'The idea of using a lightweight gating network to dynamically select experts is innovative and can potentially improve computational efficiency.', 'The paper tackles the important issue of controllability in diffusion models, which is a relevant problem in generative modeling.']","['The experimental validation is limited to synthetic datasets, raising concerns about the generalizability of the results.', 'The paper lacks rigorous theoretical analysis and detailed comparisons with state-of-the-art methods.', 'The implementation details, especially for training the gating network and expert denoisers, are not sufficiently detailed.', 'The scope of datasets is too narrow, and the paper does not convincingly show that the method can handle real-world complex data distributions.', 'The clarity of the method section is insufficient; it is difficult to understand the exact implementation and integration of the MoE architecture into the diffusion model.', 'The evaluation metrics are somewhat limited, relying primarily on KL divergence and evaluation loss without considering other relevant metrics for generative models.', 'The paper does not provide a thorough analysis of the results or discuss potential limitations.', 'There is no discussion on the potential negative societal impacts or ethical considerations of the proposed approach.']",3,2,2,2,Reject
