paper_id,Summary,Questions,Limitations,Ethical Concerns,Soundness,Presentation,Contribution,Overall,Confidence,Strengths,Weaknesses,Originality,Quality,Clarity,Significance,Decision
model_architecture_grokking,"The paper investigates the impact of Transformer architecture configurations on grokking behavior in arithmetic and permutation tasks. It systematically explores five Transformer configurations with varying layers, dimensions, and attention heads across four tasks: modular addition, subtraction, division, and permutation composition. The study finds that architectural choices significantly influence grokking behavior, with some configurations facilitating faster learning or achieving higher final accuracies on specific tasks.","['Can the authors provide a theoretical explanation for the observed patterns in grokking behavior?', 'How do the results compare with other architectures beyond Transformers?', 'What specific characteristics of the tasks influence the effectiveness of different Transformer configurations?', 'Can the authors provide a deeper analysis of why certain architectures perform better on specific tasks?', 'Can the authors propose new hypotheses based on the results of their study?', 'Can the authors clarify the experimental setup and better integrate the figures into the text?', 'Why were these specific tasks (modular addition, subtraction, division, and permutation composition) chosen for the study?', 'What was the rationale behind the chosen Transformer configurations?', 'How do the findings translate to more complex real-world tasks?', 'How do the authors suggest improving the performance on more complex tasks like permutation composition with Transformer models?', 'What are the potential limitations of the current study and how can they be addressed in future work?']","['The study is limited to specific tasks and a fixed training duration, which might not generalize to more complex real-world problems.', 'The analysis focuses on descriptive results without offering theoretical insights into the observed phenomena.', 'The paper does not address the broader implications of the findings or propose new hypotheses based on the results.', 'The analysis of the results is somewhat superficial, not providing enough insights into why certain architectures perform better on specific tasks.', 'The paper does not explore a wide enough range of architectural configurations, such as different normalization techniques or activation functions. The training duration and tasks are also limited, which may affect the generalizability of the findings.']",False,2,2,2,4,4,"['The paper addresses an interesting and relevant phenomenon in deep learning, namely grokking.', 'The empirical study is comprehensive, covering multiple configurations and tasks.', 'The findings provide practical insights into optimizing Transformer architectures for specific tasks.']","['The originality of the work is limited as it primarily extends existing studies to new tasks and configurations.', 'The paper lacks a strong theoretical foundation and deeper analysis of why certain architectures perform better.', 'Some sections could benefit from clearer explanations and reasoning, particularly on the impact of architectural choices.', 'The significance of the findings is moderate as they largely confirm intuitive expectations rather than providing groundbreaking insights.', 'The analysis of the results is superficial and does not provide enough insights into why certain architectures perform better on specific tasks.', 'The explanation of the experimental setup and the results could be more concise and integrated with the figures.', 'The paper does not delve deeply into the implications of the findings or propose new hypotheses based on the results.', 'The choice of tasks and architectural variations could be more diverse.', 'Details on the training setup (e.g., hardware, specific implementation details) are sparse, affecting reproducibility.']",2,2,2,3,Reject
batch_size_grokking,"The paper investigates the impact of dynamic batch size strategies on the grokking phenomenon in deep learning. The authors propose five dynamic batch size strategies—linear, exponential, logarithmic, cyclic, and cosine annealing—and evaluate them against a fixed batch size baseline across four tasks: modular addition, subtraction, division, and permutation group operations. The results indicate that the linear increase strategy consistently outperforms others, accelerating generalization and improving final model performance.","['Can the authors provide a more detailed description of the dynamic batch size strategies and their implementations?', 'What is the theoretical rationale behind the choice of these dynamic batch size strategies?', 'How do the findings generalize to other types of tasks or more complex datasets?', 'Could the authors explore the interaction between batch size strategies and other hyperparameters, such as learning rate schedules?', 'What are the specific hyperparameters used in the experiments, and how were they chosen?']","['The paper does not thoroughly address the theoretical underpinnings of dynamic batch size strategies, which limits the understanding of why these strategies work.', ""The study's focus on a single model architecture and optimizer limits the generalizability of the findings."", 'The limited scope of tasks used in the evaluation may not provide a comprehensive view of the effectiveness of these strategies.', 'The interaction between batch size strategies and other hyperparameters is not explored.']",False,2,2,2,4,4,"['Addresses a novel and important issue in deep learning, focusing on the grokking phenomenon.', 'Proposes novel dynamic batch size strategies.', 'Comprehensive empirical evaluation across multiple tasks.', 'The linear increase strategy shows promising results in accelerating generalization and improving final model performance.']","['Lacks theoretical grounding for why these dynamic batch size strategies should work.', 'Limited to a specific set of tasks and a single model architecture, limiting generalizability.', 'Insufficient exploration of the interaction between batch size strategies and other hyperparameters.', 'Some important hyperparameters and experimental settings are not clearly explained.', 'The related work section could be more comprehensive.']",3,2,2,3,Reject
data_augmentation_grokking,"The paper investigates the impact of data augmentation on grokking dynamics in mathematical operations, focusing on modular arithmetic. It proposes a novel data augmentation strategy combining operand reversal and negation, applied with varying probabilities to different operations. The experiments show that targeted data augmentation significantly accelerates grokking, reducing steps to 99% validation accuracy by up to 76% for addition, 72% for subtraction, and 66% for division.","['Can the authors provide a more detailed theoretical explanation of why the proposed data augmentation strategies enhance grokking dynamics?', 'Can the authors include more detailed ablation studies to isolate the effects of different components of the proposed method?', 'Can the authors provide clearer visualizations and more detailed explanations of the figures and tables presented in the paper?', 'Can the authors explore additional augmentation techniques beyond operand reversal and negation?', 'How does the proposed method generalize to more complex mathematical operations?', 'Can the authors provide more detailed explanations and visualizations of the grokking dynamics observed in the experiments?', 'Have you considered other augmentation techniques or combinations thereof?', 'Can you provide more experiments with different hyperparameters and model architectures?', 'Could you discuss the potential ethical and societal impacts of your work?', 'Can the authors provide a discussion on the statistical significance of the results and the variance across multiple runs?', 'What are the limitations of the proposed augmentation strategies, and how do the authors plan to address them in future work?', 'Why is accelerating grokking specifically important for modular arithmetic?', 'How were the specific probabilities for augmentation chosen?', 'Can you provide more context or baseline comparison to justify the claimed improvements?']","['The paper does not thoroughly discuss the potential limitations of the proposed method, such as its applicability to other mathematical domains or different types of neural network architectures.', 'The broader implications of the work, including its potential impact on curriculum design for machine learning and educational AI systems, are only briefly mentioned and not explored in depth.', 'The experiments were conducted with a fixed set of hyperparameters and model architecture. Further investigation into the interaction between these factors and the augmentation strategies is needed.', 'The study focuses on modular arithmetic with a prime modulus. Generalizing the findings to other mathematical domains remains an open question.', 'The evaluation methodology lacks rigor, with no discussion on statistical significance or variance across multiple runs.', 'The problem setting and the significance of the results are not well-motivated. Why is accelerating grokking specifically important for modular arithmetic?', ""The methodology section lacks clarity and depth. For instance, it's not clear how the specific probabilities for augmentation were chosen."", 'The evaluation metrics and experimental results are presented without sufficient context or baseline comparison to justify the claimed improvements.', ""The paper's presentation is somewhat disorganized, making it difficult to follow and understand the key contributions and results.""]",False,2,2,2,3,4,"['The paper addresses a relevant problem in the context of deep learning: enhancing grokking dynamics in mathematical reasoning tasks.', 'The proposed data augmentation strategies (operand reversal and negation) are novel and show promising empirical results.', 'The experiments are well-designed, systematically varying augmentation strategies and measuring their effects on grokking dynamics.']","['The paper lacks a thorough theoretical analysis of why the proposed data augmentation strategies work and how they influence grokking dynamics.', 'The presentation of results, particularly the figures and tables, could be clearer and more detailed.', 'The paper does not provide sufficient ablation studies to isolate the effects of different components of the proposed method.', 'Potential limitations and broader implications of the work are not thoroughly discussed.', 'The novelty of the proposed augmentation techniques is limited as operand reversal and negation are relatively simple transformations.', 'The experimental setup lacks depth, particularly in terms of hyperparameter exploration and architectural variations.', 'Ethical and societal impacts are not discussed.']",2,2,2,3,Reject
noisy_grokking,"The paper investigates the impact of input perturbations on the grokking phenomenon in neural networks, focusing on two algorithmic tasks: modular division and permutation composition. The study systematically varies noise levels and application probabilities, tracking clean and noisy validation accuracies throughout the training process. The results reveal a task-dependent, non-linear relationship between noise and grokking, with modular division showing robustness to low noise levels and permutation composition exhibiting improved generalization under moderate noise.","['Can the authors provide more details on the autoencoder aggregator used in their experiments?', 'How do different model architectures and training procedures affect the observed results?', 'Can the authors provide additional visualizations or cases to support their qualitative analysis?', 'How do the findings generalize to more complex, real-world datasets?', 'What are the practical implications of these findings for designing robust training procedures?', 'Can the authors provide more detailed explanations of the noise injection process and its impact on the training dynamics?', 'What are the practical implications of the observed non-monotonic relationship between noise and performance in the permutation composition task?', 'Have you considered testing other algorithmic tasks or different model architectures to see if the findings generalize?', 'Can you provide a more detailed theoretical explanation for the observed non-monotonic behavior and critical transition points in noise sensitivity?', 'How do the authors ensure the reproducibility and validity of their experiments?', 'Are there any additional tasks or datasets that could be included to make the findings more generalizable?', 'Can the authors provide a more thorough analysis of the experimental data, including additional visualizations and statistical significance tests?', 'How do the findings relate to existing literature on noise and generalization in neural networks?']","['The study is limited to two specific algorithmic tasks, which may not generalize to other domains.', 'The experiments use a fixed model architecture and training procedure, which may not be optimal for all noise conditions.', 'The statistical robustness of the results is questionable due to the small number of trials.', 'The experimental methodology is not clearly explained, making it difficult to understand the reproducibility and validity of the experiments.']",False,2,2,2,4,4,"['The paper addresses a relevant and timely problem by studying the impact of noise on the grokking phenomenon.', 'Comprehensive experimental setup, including varying noise types, levels, and probabilities.', 'Detailed analysis of the results, identifying task-specific behaviors and critical transition points in noise tolerance.', 'The topic of the study is novel and extends current research on the grokking phenomenon by introducing the element of noise.']","['The paper lacks clarity in certain sections, making it difficult to follow the experimental setup and results.', 'The impact of different model architectures and training procedures on the results is not explored.', 'The study focuses on only two specific algorithmic tasks, limiting the generalizability of the findings.', 'The number of random seeds (3) used for experiments is relatively small, potentially affecting the robustness of the results.', 'The idea of studying the impact of noise on neural networks is not novel, and the paper does not sufficiently differentiate itself from existing work on noise and robustness.', 'The practical implications of the findings are not fully explored.', 'The experimental design has some gaps, such as the limited range of noise types and the fixed model architecture.', 'There is a lack of discussion on the implications of the findings for practical applications.']",3,2,2,3,Reject
pruning_grokking_dynamics,"The paper investigates the impact of weight pruning on the phenomenon of grokking and generalization performance in transformer models. It systematically varies sparsity levels and examines the effects on models trained on modular division and permutation learning tasks. The results show that moderate sparsity levels can maintain or accelerate grokking in the modular division task, while high sparsity levels lead to poor generalization in the permutation learning task.","['Can you provide a more detailed theoretical analysis to explain the discrepancy between target and achieved sparsity levels?', 'How generalizable are your findings to other tasks and model architectures?', 'Can you improve the clarity of your figures and tables, and provide more detailed explanations?', 'Why does the permutation learning task show severe overfitting with high sparsity levels, while the modular division task does not?', 'Can the authors explore different pruning schedules or techniques to see if the discrepancy in sparsity levels persists?']","['The paper does not sufficiently address the discrepancy between target and achieved sparsity levels.', 'The generalizability of the findings is limited, and the paper does not provide enough discussion on this aspect.', 'The paper lacks a thorough discussion on the limitations and potential negative societal impacts of the work.']",False,2,2,2,3,4,"['The paper addresses an interesting and relevant topic in deep learning, exploring the relationship between sparsity, grokking, and generalization.', 'The experimental design includes systematic variation of sparsity levels and tracks multiple metrics to provide a comprehensive view of the learning dynamics.', 'The findings suggest that moderate sparsity levels can accelerate grokking and improve generalization in some tasks.']","['The theoretical foundation and detailed analysis supporting the claims are weak. The discrepancy between target and achieved sparsity levels is noted but not sufficiently explained.', 'The methodology and experimental setup are fairly standard and do not introduce substantial innovation.', 'The results are limited to two specific tasks, raising questions about the generalizability of the findings.', 'The clarity of the paper is lacking, with confusing presentation of results and insufficient explanation of figures and tables.', 'The discussion around limitations and potential negative societal impacts of the work is minimal.']",3,2,2,3,Reject
invariance_learning_grokking,"The paper investigates the relationship between invariance learning and the grokking phenomenon in neural networks, introducing a novel invariance score metric and using attention visualization techniques. The study focuses on modular arithmetic operations and permutations, demonstrating that invariance learning occurs early in training, preceding the grokking point.","['Why is early invariance learning not sufficient for generalization, especially in the permutation task?', 'Can you provide more detailed explanations and visualizations of the attention patterns observed in the different tasks?', 'How does the proposed invariance score metric compare to existing methods in the literature?', 'Can you provide a more detailed theoretical justification for the invariance score metric?', 'Can you include more experimental results, possibly with different tasks and model architectures, to validate your claims more comprehensively?', 'Can you clarify how the invariance score is computed and how it should be interpreted in the context of your experiments?', 'Can you provide a deeper analysis of why the permutation task fails to generalize despite early invariance learning?', 'What additional factors do you think contribute to the grokking phenomenon?', 'How do you plan to address the limitations mentioned in the paper, such as fixed hyperparameters and limited training time?']","['The study acknowledges the fixed hyperparameters and limited training time as limitations. Future work should explore different model architectures and training regimes to better understand the relationship between invariance learning and grokking.', 'The paper does not adequately address the limitations of the proposed approach and the broader implications of the findings. A discussion on these aspects would be beneficial for understanding the scope and impact of the work.', 'Simplified tasks may not fully represent the complexity of real-world problems.']",False,2,2,2,4,4,"['The paper addresses an intriguing and relevant problem in deep learning, focusing on the grokking phenomenon and invariance learning.', 'Introduction of a novel invariance score metric to quantify symmetry awareness in neural networks.', 'Comprehensive experiments on modular arithmetic operations and permutations, providing empirical evidence for the study.', 'Utilization of attention visualization techniques to gain insights into the learning process.']","['The causal link between invariance learning and grokking is not clearly established. The paper should explore why early invariance learning does not guarantee generalization, especially for complex tasks.', 'The presentation of results is disorganized, with unclear visualizations and insufficient explanations of the findings.', 'The attention patterns discussed are not convincingly linked to the observed phenomena, and the paper could benefit from more detailed analysis and interpretation.', 'The methodology could be more rigorous, with a stronger theoretical foundation and a more thorough comparison with existing methods.', 'The paper lacks a detailed exploration of hyperparameter sensitivity and task-specific adjustments.', 'The practical implications and potential applications of the findings are not thoroughly discussed.', 'The scope of tasks studied is somewhat narrow, limiting the generalizability of the findings.']",3,2,2,3,Reject
initialization_impact_grokking,"The paper investigates the impact of weight initialization methods on the grokking phenomenon in Transformer models across various mathematical tasks. It compares orthogonal and Xavier/Glorot initialization techniques, analyzing their effects on learning trajectories, generalization capabilities, and model performance. The study aims to provide insights into the grokking process by examining weight distributions and attention patterns throughout training.","['Can you provide more theoretical explanations for why certain initialization methods perform better for specific tasks?', 'Can you expand the experimental setup to include a broader range of tasks and model architectures to validate your findings?', 'How do the results generalize to more complex, real-world tasks?', 'What are the potential negative societal impacts or ethical considerations of this work?', 'Can the authors provide more details on the experimental setup and methodology to ensure reproducibility?']","[""The paper's findings may not be generalizable to more complex problems due to the relatively small scale of the tasks considered."", 'The interaction between initialization methods and other training dynamics, such as learning rate schedules, requires further investigation.', 'The paper does not adequately address the limitations and potential negative societal impacts of the work. The authors should provide a more detailed discussion on these aspects.']",False,2,2,2,3,4,"['The paper addresses an important and timely topic in deep learning: the grokking phenomenon in Transformer models.', 'It provides a novel framework for analyzing weight distributions and attention patterns, offering insights into the grokking process.', 'The study demonstrates practical implications for designing more efficient and generalizable Transformer models.']","['The paper lacks theoretical grounding for the observed phenomena. It relies heavily on empirical results without providing sufficient theoretical explanations.', 'The experimental setup could be more rigorous. A broader range of tasks and model architectures is needed to validate the findings.', 'The clarity of the paper is a concern, with several sections lacking detailed explanations, particularly in the methodology and analysis sections.', 'The tasks used for evaluation are relatively simple and may not generalize to more complex, real-world problems.', 'There is limited discussion on the potential negative societal impacts or ethical considerations of the work.']",2,2,2,2,Reject
optimizer_impact_grokking,"The paper investigates the impact of optimization algorithms (SGD and Adam) on the grokking phenomenon in deep learning, focusing on modular arithmetic and permutation tasks. The study empirically compares the performance of SGD and Adam across different learning rates using a transformer model, analyzing training and validation dynamics, generalization performance, and grokking occurrence.","['Can the authors provide a theoretical explanation for the observed differences between SGD and Adam in grokking?', 'How do the chosen tasks (modular arithmetic and permutation) generalize to other types of tasks?', 'Can the authors provide more details on the experimental setup, including hyperparameters and model architectures?', ""How do the authors plan to address the incomplete sections labeled 'BACKGROUND HERE' and 'METHOD HERE'?"", 'What are the statistical significances of the results presented?', 'Can the authors elaborate on the theoretical foundations and contributions of their work?']","['The study is limited by its narrow range of tasks and does not explore the theoretical basis for the observed phenomena.', 'Incomplete sections and insufficient experimental details raise concerns about reproducibility.', 'Potential negative societal impacts of optimizing for generalization in deep learning are not discussed.']",False,2,2,2,3,4,"['Addresses a novel and relevant aspect of deep learning dynamics, specifically the grokking phenomenon.', 'Conducts a comprehensive empirical analysis across multiple tasks and learning rates.', 'Provides detailed metrics to evaluate grokking, including validation accuracy and steps to reach 99% validation accuracy.', 'Offers actionable insights for practitioners regarding optimizer selection and hyperparameter tuning to facilitate grokking.']","['Lack of theoretical insight to explain why different optimizers affect grokking differently.', 'Limited variety of tasks reduces the generalizability of the findings.', 'Incomplete content and placeholders significantly detract from clarity and completeness.', 'Insufficient detail on experimental setup and hyperparameters to ensure reproducibility.', 'Does not adequately address the limitations of the study.', 'Results are presented without sufficient statistical analysis or discussion on their significance.']",2,2,2,3,Reject
proto_lottery_tickets_grokking,"The paper investigates the phenomenon of grokking in neural networks, where models exhibit sudden improvements in generalization after prolonged training. The authors propose a novel method for tracking and analyzing the evolution of active subnetworks during training. Experiments are conducted on modular division and permutation tasks to explore subnetwork dynamics during grokking events.","['Can the authors provide more detailed analysis and visualization of subnetwork dynamics?', 'How do the results compare to baseline methods or existing approaches?', 'Can the authors clarify the methods used for detecting subnetwork emergence points and provide more robust results?', 'How do you address the inconsistency in results, especially for the permutation task?', 'Can you discuss the impact of hyperparameter sensitivity on your findings?', 'How would additional runs or different tasks affect the robustness of your results?']","['The main limitations of the paper include the inconclusive experimental results and the lack of detailed analysis and baseline comparisons.', 'The methods for detecting subnetwork emergence points need further refinement.', 'The influence of fixed hyperparameters on the results is not adequately explored.', 'The potential negative societal impacts of this work are not discussed.']",False,2,2,2,3,4,"['The paper addresses an intriguing and relatively unexplored phenomenon in neural networks known as grokking.', 'The proposed method for tracking and analyzing subnetwork evolution is novel and aims to provide insights into sudden generalization.', 'The experiments on modular division and permutation tasks are well-motivated and demonstrate different levels of task complexity.']","['The experimental results are inconclusive and do not provide strong evidence to support the hypotheses.', 'The methodology lacks clarity, especially in defining and detecting active subnetworks and their stability.', 'The paper lacks baseline comparisons and ablation studies, which are necessary to evaluate the effectiveness of the proposed method.', 'The clarity and organization of the paper could be improved, as some sections are difficult to follow.', 'Only three experimental runs are conducted for each task, which is insufficient for robust statistical analysis.']",3,2,2,3,Reject
input_encoding_grokking,"The paper investigates how different input encoding schemes affect the grokking phenomenon in transformer models learning mathematical operations. It systematically compares four encoding methods: default integer indices, one-hot encoding, binary encoding, and a novel hybrid encoding across four mathematical operations: modular addition, subtraction, division, and permutation composition. The study aims to understand how these encodings influence grokking dynamics and overall model performance. The authors find that input encodings significantly influence grokking dynamics, with varying effectiveness across operations.","['Can you provide a more detailed theoretical explanation for the observed grokking phenomenon?', 'How do you envision the practical implications of your findings in broader machine learning tasks?', 'Can you further elaborate on the impact and potential benefits of the hybrid encoding scheme?', 'Can you provide a clearer definition of grokking and how it is measured in your experiments?', 'What is the rationale behind the design of the hybrid encoding scheme? How does it compare to other encoding schemes in terms of novelty?', 'Can you conduct additional experiments to cover more mathematical operations and different sets of hyperparameters to strengthen your conclusions?', 'How do you justify the choice of hyperparameters in your experiments?', 'Can you provide a more detailed comparison with existing methods addressing similar problems?', 'Why is the related work section incomplete?', 'Could the authors provide a more detailed theoretical explanation for why different encoding schemes affect grokking dynamics?', 'What is the performance of the proposed model when varying the hybrid encoding scheme? Could more ablation studies be conducted?', 'How generalizable are the findings to other mathematical operations and model architectures?']","['The study is limited to specific mathematical operations and a fixed transformer architecture. This may limit the generalizability of the findings to other tasks and models.', 'The choice of hyperparameters is not thoroughly justified, potentially biasing the results.', 'The results for the hybrid encoding scheme are not thoroughly analyzed, and its effectiveness remains unclear.', 'The paper does not address potential negative societal impacts of the work.']",False,2,2,2,3,4,"['The paper addresses an important and underexplored aspect of neural network learning: the influence of input encoding on grokking.', 'A systematic comparison of different input encoding schemes is conducted.', 'Comprehensive experiments are conducted across multiple mathematical operations and encoding schemes.']","['The novelty of the hybrid encoding scheme is questionable and lacks theoretical justification.', 'The experimental setup is limited to specific mathematical operations and a fixed transformer architecture, raising concerns about generalizability.', 'The clarity of the paper could be improved, particularly in the presentation of the hybrid encoding scheme and the definition of grokking.', 'Some critical related works are missing, and the citations are incomplete.', 'The evaluation metrics and analysis of results are not thoroughly explained.']",2,2,2,2,Reject
